country,Population,rev_id
Cook Island,Population not found,763776270
Cook Island,Population not found,763776271
Cook Island,Population not found,763776737
Cook Island,Population not found,763776768
Cook Island,Population not found,763776806
Cook Island,Population not found,763776808
Cook Island,Population not found,763776856
Cook Island,Population not found,763776860
Rhodesian,Population not found,763870152
"Congo, Dem. Rep. of",Population not found,763943185
Rhodesian,Population not found,763951988
Palauan,Population not found,764341685
Ivorian,Population not found,764345360
Guadeloupe,Population not found,764397748
Pitcairn Islands,Population not found,764601118
Hondura,Population not found,764646645
"Congo, Dem. Rep. of",Population not found,764771546
"Congo, Dem. Rep. of",Population not found,764771615
"Congo, Dem. Rep. of",Population not found,764771652
"Congo, Dem. Rep. of",Population not found,764771697
"Congo, Dem. Rep. of",Population not found,764791046
Palauan,Population not found,765032190
Palauan,Population not found,765102210
Guadeloupe,Population not found,765272796
Cape Colony,Population not found,765333482
Salvadoran,Population not found,765528693
"Congo, Dem. Rep. of",Population not found,765570258
East Timorese,Population not found,765600414
Chechen,Population not found,765616552
Palestinian Territory,Population not found,765742925
"Congo, Dem. Rep. of",Population not found,765799138
"Congo, Dem. Rep. of",Population not found,765799213
"Congo, Dem. Rep. of",Population not found,765834828
Czech Republic,Population not found,765838180
"Congo, Dem. Rep. of",Population not found,765871730
"Congo, Dem. Rep. of",Population not found,765923988
"Congo, Dem. Rep. of",Population not found,765924619
"Congo, Dem. Rep. of",Population not found,765925554
Faroese,Population not found,765947137
Faroese,Population not found,765947416
Niuean,Population not found,766068997
Niuean,Population not found,766068998
Niuean,Population not found,766069253
Niuean,Population not found,766069256
Niuean,Population not found,766069372
Niuean,Population not found,766069407
Niuean,Population not found,766069520
Niuean,Population not found,766069576
South Ossetian,Population not found,766130279
Jersey,Population not found,766480006
Ivorian,Population not found,766524815
"Congo, Dem. Rep. of",Population not found,766647953
Salvadoran,Population not found,766757526
Palestinian Territory,Population not found,766784372
Cook Island,Population not found,766806728
Palestinian Territory,Population not found,766840809
Rhodesian,Population not found,766847256
Palestinian Territory,Population not found,766847361
Cook Island,Population not found,767048874
Cook Island,Population not found,767048881
Guadeloupe,Population not found,767102866
Omani,Population not found,767183600
Palauan,Population not found,767195006
Martinique,Population not found,767223939
Ivorian,Population not found,767265950
Guadeloupe,Population not found,767288808
Samoan,Population not found,767363297
Palestinian Territory,Population not found,767482479
Cape Colony,Population not found,767856232
Palestinian Territory,Population not found,767881055
Omani,Population not found,767885927
Cook Island,Population not found,767994335
Czech Republic,Population not found,768047769
"Congo, Dem. Rep. of",Population not found,768228272
Ivorian,Population not found,768302622
Palestinian Territory,Population not found,768374386
Guernsey,Population not found,768625520
"Congo, Dem. Rep. of",Population not found,768670214
Czech Republic,Population not found,768676716
Montserratian,Population not found,768679602
Palestinian Territory,Population not found,769135700
Palestinian Territory,Population not found,769328020
Carniolan,Population not found,769425247
Salvadoran,Population not found,769575358
Ivorian,Population not found,769591168
Niuean,Population not found,770018880
Montserratian,Population not found,770131970
South Korean,Population not found,770622878
South Korean,Population not found,770623036
Salvadoran,Population not found,770682721
Ivorian,Population not found,770710515
South Korean,Population not found,770757174
Greenlandic,Population not found,770757601
South Korean,Population not found,770760118
Saint Lucian,Population not found,770812205
Saint Lucian,Population not found,770813700
Saint Lucian,Population not found,770814043
Saint Vincent and the Grenadines,Population not found,770827509
Saint Vincent and the Grenadines,Population not found,770829069
Tokelauan,Population not found,770994352
Saint Vincent and the Grenadines,Population not found,771015590
Cape Colony,Population not found,771024710
Niuean,Population not found,771152922
Palestinian Territory,Population not found,771217707
Samoan,Population not found,771267864
Montserratian,Population not found,771351774
Montserratian,Population not found,771351955
Montserratian,Population not found,771352057
Tokelauan,Population not found,771460602
Samoan,Population not found,771651038
"Congo, Dem. Rep. of",Population not found,772045942
Chechen,Population not found,772274868
"Congo, Dem. Rep. of",Population not found,772317052
South African Republic,Population not found,772410051
"Congo, Dem. Rep. of",Population not found,772818039
East Timorese,Population not found,772890380
Palestinian Territory,Population not found,773002344
Martinique,Population not found,773080765
Palestinian Territory,Population not found,773227993
Jersey,Population not found,773230341
Saint Lucian,Population not found,773251387
Jersey,Population not found,773316732
Palauan,Population not found,773405868
Hondura,Population not found,773563309
Czech Republic,Population not found,773853256
Faroese,Population not found,773895078
"Congo, Dem. Rep. of",Population not found,774263410
South Korean,Population not found,774367693
Ossetian,Population not found,774555176
Jersey,Population not found,774568909
Czech Republic,Population not found,774595725
"Congo, Dem. Rep. of",Population not found,774679596
Ivorian,Population not found,774756970
Saint Kitts and Nevis,Population not found,774778329
Palestinian Territory,Population not found,774821388
Rhodesian,Population not found,774837666
Salvadoran,Population not found,774857245
Omani,Population not found,774877670
South Korean,Population not found,775234175
Saint Lucian,Population not found,775241473
South Korean,Population not found,775458263
South Korean,Population not found,775458608
South Korean,Population not found,775458639
Cape Colony,Population not found,775481498
Palestinian Territory,Population not found,775535912
Palestinian Territory,Population not found,775898615
Niuean,Population not found,775947817
Czech Republic,Population not found,776095794
Czech Republic,Population not found,776197284
Palestinian Territory,Population not found,776289919
South African Republic,Population not found,776299184
Czech Republic,Population not found,776338134
Czech Republic,Population not found,776338195
Ivorian,Population not found,776348888
"Congo, Dem. Rep. of",Population not found,776372644
Saint Lucian,Population not found,776374386
Palestinian Territory,Population not found,776386870
Czech Republic,Population not found,776487173
Czech Republic,Population not found,776508129
Czech Republic,Population not found,776509425
Czech Republic,Population not found,776513404
Czech Republic,Population not found,776513552
Czech Republic,Population not found,776513802
Czech Republic,Population not found,776514175
Cape Colony,Population not found,776725178
Czech Republic,Population not found,776751749
Palestinian Territory,Population not found,776831011
South Korean,Population not found,777008205
Palestinian Territory,Population not found,777026878
South Korean,Population not found,777070214
Palauan,Population not found,777304756
Hondura,Population not found,777334919
Carniolan,Population not found,777587526
Carniolan,Population not found,777588436
Hondura,Population not found,777592070
Salvadoran,Population not found,777601256
Salvadoran,Population not found,777602660
Salvadoran,Population not found,777612972
Salvadoran,Population not found,777613551
Salvadoran,Population not found,777613737
Salvadoran,Population not found,777613786
Hondura,Population not found,777669643
Salvadoran,Population not found,777685186
Salvadoran,Population not found,777698313
Hondura,Population not found,777796210
Czech Republic,Population not found,777876483
Czech Republic,Population not found,778095433
Greenlandic,Population not found,778461046
Saint Kitts and Nevis,Population not found,778464259
Salvadoran,Population not found,778564487
Palauan,Population not found,778679721
Cook Island,Population not found,778717694
Cook Island,Population not found,778763952
Cook Island,Population not found,778789714
South Korean,Population not found,778915319
South Korean,Population not found,778916810
Palestinian Territory,Population not found,779034357
Cape Colony,Population not found,779046359
Pitcairn Islands,Population not found,779056744
Palestinian Territory,Population not found,779105366
Palestinian Territory,Population not found,779367907
Niuean,Population not found,779369629
Niuean,Population not found,779369671
Niuean,Population not found,779369724
Niuean,Population not found,779369750
Saint Kitts and Nevis,Population not found,779378782
Saint Kitts and Nevis,Population not found,779379168
Czech Republic,Population not found,779417455
Czech Republic,Population not found,779417738
Czech Republic,Population not found,779418369
Czech Republic,Population not found,779498276
Czech Republic,Population not found,779500408
Czech Republic,Population not found,779500749
Czech Republic,Population not found,779500957
Czech Republic,Population not found,779501010
Czech Republic,Population not found,779501096
Czech Republic,Population not found,779501161
Czech Republic,Population not found,779501194
Czech Republic,Population not found,779501654
Czech Republic,Population not found,779501783
South Korean,Population not found,779544705
South Korean,Population not found,779544873
